,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1968,22454,21.2,8.9,28.8,16.7,1.105,45.138,115.001,107.044,75379,131412,4.7867,6.1267,6.83,5.05,5.61,3.7333,5.86,6.2,91.62666667,20.29,404,968,1310,152.288,682,4746,9299,568.887,4709.993,10.404,87.3247,0.933264763,-999,380.004,286.6046765,157.1233245
1968.25,22781,21.1,8.9,28.8,17,1.049,45.571,115.212,106.591,76182,131872,5.98,6.2533,7.0233,5.52,5.74,3.5667,2.56,3.34,98.01333333,20.504,414,987,1343,158.943,695,4794,9422,590.647,4788.688,10.573,87.2744,0.930499408,-999,391.591,290.66159,161.8196755
1968.5,22883,21.3,9.2,29,16.3,0.98,45.556,115.199,107.675,76172,132446,5.9433,6.0767,6.8633,5.1967,5.46,3.5333,-0.89,1.04,99.90333333,20.706,436,1009,1372,155.683,724,4857,9516,574.539,4825.799,10.746,86.6657,0.9265795,-999,399.343,294.7503367,161.5703306
1968.75,22923,21.1,9.1,29.2,16.6,1.405,45.477,114.644,108.505,76778,133120,5.9167,6.2433,7.0267,5.5867,5.77,3.4,-2.06,-1.01,105.233,20.999,436,1017,1400,160.76,718,4845,9595,580.789,4844.779,10.96,87.09,0.931251623,-999,412.654,296.6430048,162.4549641
1969,23231,21,9,29,17.3,1.033,45.826,114.564,107.855,77367,133639,6.5667,6.7,7.3767,6.0933,6.18,3.4,-0.8,-0.46,100.933,21.217,446,1034,1427,172.388,730,4889,9658,614.989,4920.605,11.11,87.6597,0.930242863,-999,422.806,299.5317769,169.9044406
1969.25,23252,21,8.9,29.3,17.1,1.269,45.457,114.401,109.252,77880,134213,8.3267,6.8867,7.5867,6.1967,6.35,3.4333,-2.74,-1.1,101.68,21.488,447,1048,1461,172.721,726,4888,9756,611.366,4935.564,11.289,86.9099,0.926330397,-999,438.519,301.9584347,168.7992017
1969.5,23332,20.9,8.8,29.3,17.2,1.396,45.485,114.162,110.053,78250,134774,8.9833,7.0633,7.9167,7.0233,6.86,3.5667,-0.75,-0.28,94.467,21.79,446,1064,1488,177.564,722,4893,9807,623.778,4968.164,11.491,86.8265,0.920650836,-999,448.466,303.8600678,170.7591123
1969.75,23162,21.1,8.7,29.9,16.5,1.281,45.294,113.714,111.522,78740,135489,8.94,7.4667,8.3733,7.3533,7.3,3.5667,-0.54,-2.93,94.28,22.071,446,1079,1523,171.573,717,4911,9900,593.659,4943.935,11.713,85.1586,0.919069576,-999,460.789,306.9127257,165.299795
1970,23064,21.3,8.5,30.2,16,1.399,45.413,113.225,112.034,78863,136179,8.5733,7.8933,8.7567,7.21,7.37,4.1667,4.23,-2.41,88.707,22.382,439,1100,1556,168.113,705,4941,9982,575.953,4936.594,11.926,81.8225,0.912235499,-999,473.299,309.9437914,161.4016217
1970.25,23033,21.2,8.5,30.4,16,1.384,46.106,112.427,110.478,78413,136928,7.88,8.14,8.9767,6.6767,7.71,4.7667,7.1,1.42,79.2,22.694,445,1107,1583,171.455,711,4923,10012,577.205,4943.6,12.116,80.4238,0.914627217,-999,490.566,310.9828227,161.9565991
